№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
4,СЛОЙКА С СЫРОМ,Сироп для пропитки,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
5,СЛОЙКА С СЫРОМ,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
6,СЛОЙКА С СЫРОМ,СЫР ТВЕРДЫЙ,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1440",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Слойка с яблоком,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629908,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Слойка с яблоком,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Слойка с яблоком,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,075",,"0,075",,"  0,0750 ",,"0,075","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Слойка с яблоком,Яблоки очищенные без кожицы (Кубик/дольки) п/ф 1 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
3,Слойка с яблоком,САХАР ПЕСОК,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
4,Слойка с яблоком,Меланж (битое яйцо 10 шт),,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
5,Слойка с яблоком,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
6,Слойка с яблоком,Сироп для пропитки,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
7,Слойка с яблоком,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
8,Слойка с яблоком,ЗАГУСТИТЕЛЬ - САФТИЯ,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1280",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ШТРУДЕЛЬ С АБРИКОСОВЫМ ДЖЕМОМ,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630294,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,ШТРУДЕЛЬ С АБРИКОСОВЫМ ДЖЕМОМ,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,ШТРУДЕЛЬ С АБРИКОСОВЫМ ДЖЕМОМ,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,100",,"0,100",,"  0,1000 ",,"0,100","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,ШТРУДЕЛЬ С АБРИКОСОВЫМ ДЖЕМОМ,КОНФИТЮР АБРИКОС 13 КГ,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
3,ШТРУДЕЛЬ С АБРИКОСОВЫМ ДЖЕМОМ,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
4,ШТРУДЕЛЬ С АБРИКОСОВЫМ ДЖЕМОМ,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
5,ШТРУДЕЛЬ С АБРИКОСОВЫМ ДЖЕМОМ,Сироп для пропитки,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
6,ШТРУДЕЛЬ С АБРИКОСОВЫМ ДЖЕМОМ,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1440",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ШТРУДЕЛЬ С ВИШНЕЙ И ТВОРОГОМ,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630293,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,ШТРУДЕЛЬ С ВИШНЕЙ И ТВОРОГОМ,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,ШТРУДЕЛЬ С ВИШНЕЙ И ТВОРОГОМ,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,100",,"0,100",,"  0,1000 ",,"0,100","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,ШТРУДЕЛЬ С ВИШНЕЙ И ТВОРОГОМ,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
3,ШТРУДЕЛЬ С ВИШНЕЙ И ТВОРОГОМ,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
4,ШТРУДЕЛЬ С ВИШНЕЙ И ТВОРОГОМ,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
5,ШТРУДЕЛЬ С ВИШНЕЙ И ТВОРОГОМ,ВИШНЯ С\М,,,,кг,"0,008",,"0,008",,"  0,0080 ",,"0,008",,,,,
6,ШТРУДЕЛЬ С ВИШНЕЙ И ТВОРОГОМ,Сироп для пропитки,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
7,ШТРУДЕЛЬ С ВИШНЕЙ И ТВОРОГОМ,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1520",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ШТРУДЕЛЬ С ТВОРОГОМ,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630277,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,ШТРУДЕЛЬ С ТВОРОГОМ,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,ШТРУДЕЛЬ С ТВОРОГОМ,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,100",,"0,100",,"  0,1000 ",,"0,100","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,ШТРУДЕЛЬ С ТВОРОГОМ,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
3,ШТРУДЕЛЬ С ТВОРОГОМ,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
4,ШТРУДЕЛЬ С ТВОРОГОМ,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
5,ШТРУДЕЛЬ С ТВОРОГОМ,Сироп для пропитки,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
6,ШТРУДЕЛЬ С ТВОРОГОМ,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1440",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Штрудель яблочный,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641127,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Штрудель яблочный,,,,,,
 22.06.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Штрудель яблочный,Тесто Слойка пресная 1кг,,,,кг,"0,175",,"0,175",,"  0,1750 ",,"0,175","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Штрудель яблочный,Начинка на штрудель,,,,кг,"0,175",,"0,175",,"  0,1750 ",,"0,175",,,,,
3,Штрудель яблочный,САХАРНАЯ ПУДРА,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,050",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,4000",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка дорожная,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629767,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка дорожная,,,,,,
 11.04.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка дорожная,Тесто Сдобное п/ф,,,,кг,"0,450",,"0,450",,"  0,4500 ",,"0,450","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка дорожная,Штрейзельная крошка п/ф,,,,кг,"0,050",,"0,050",,"  0,0500 ",,"0,050",,,,,
3,Булочка дорожная,Меланж (битое яйцо 10 шт),,,,кг,"0,025",,"0,025",,"  0,0250 ",,"0,025",,,,,
4,Булочка дорожная,САХАРНАЯ ПУДРА,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,015",,,,,
5,Булочка дорожная,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
6,Булочка дорожная,Пакеты отрывные (500шт),,,,шт,"5,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"5,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,5418",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка карамельная,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641215,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка карамельная,,,,,,
 06.08.2024,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка карамельная,Тесто Сдобное п/ф,,,,кг,"0,070",,"0,070",,"  0,0700 ",,"0,070","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка карамельная,Карамель сникерс заготовка,,,,кг,"0,020",,"0,020",,"  0,0200 ",,"0,020",,,,,
3,Булочка карамельная,Помадка для карамельной булочки,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,015",,,,,
4,Булочка карамельная,Штрейзельная крошка п/ф,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,015",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1200",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка косичка с изюмом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629753,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка косичка с изюмом,,,,,,
 11.04.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка косичка с изюмом,Тесто Сдобное п/ф,,,,кг,"0,540",,"0,540",,"  0,5400 ",,"0,540","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка косичка с изюмом,Крем Заварной Фрио на воде,,,,кг,"0,180",,"0,180",,"  0,1800 ",,"0,180",,,,,
3,Булочка косичка с изюмом,САХАРНАЯ ПУДРА,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
4,Булочка косичка с изюмом,Сироп для пропитки,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060",,,,,
5,Булочка косичка с изюмом,ИЗЮМ ЧИЩЕННЫЙ,,,,кг,"0,036",,"0,036",,"  0,0360 ",,"0,036",,,,,
6,Булочка косичка с изюмом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
7,Булочка косичка с изюмом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,005",,"  0,0050 ",,"0,005",,,,,
8,Булочка косичка с изюмом,Пакеты отрывные (500шт),,,,шт,"6,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"6,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,8528",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка косичка с нутелой и арахисом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641115,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка косичка с нутелой и арахисом,,,,,,
 11.07.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка косичка с нутелой и арахисом,Тесто Сдобное п/ф,,,,кг,"0,540",,"0,540",,"  0,5400 ",,"0,540","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка косичка с нутелой и арахисом,Сироп для пропитки,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060",,,,,
3,Булочка косичка с нутелой и арахисом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
4,Булочка косичка с нутелой и арахисом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,005",,"  0,0050 ",,"0,005",,,,,
5,Булочка косичка с нутелой и арахисом,Пакеты отрывные (500шт),,,,шт,"6,000",,"0,000",,  -   ,,"0,000",,,,,
6,Булочка косичка с нутелой и арахисом,НАЧИНКА ФУНДУК КАКАО,,,,кг,"0,120",,"0,120",,"  0,1200 ",,"0,120",,,,,
7,Булочка косичка с нутелой и арахисом,АРАХИС ОБЖАРЕННЫЙ ДРОБЛЕННЫЙ,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"6,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,7568",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка с клубничным джемом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641213,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка с клубничным джемом,,,,,,
 06.08.2024,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка с клубничным джемом,Тесто Сдобное п/ф,,,,кг,"0,070",,"0,070",,"  0,0700 ",,"0,070","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка с клубничным джемом,КОНФИТЮР Клубника с яблоком 13 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
3,Булочка с клубничным джемом,Помадка для клубничной булочки,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,015",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1150",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка с корицей и яблоком,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641205,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка с корицей и яблоком,,,,,,
 09.04.2024,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка с корицей и яблоком,Тесто Сдобное п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка с корицей и яблоком,фарш яблочный п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,040",,,,,
3,Булочка с корицей и яблоком,КОРИЦА МОЛОТАЯ,,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
4,Булочка с корицей и яблоком,Помадка для булочек,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,015",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1180",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка сахарная,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629768,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка сахарная,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка сахарная,Тесто Сдобное п/ф,,,,кг,"0,500",,"0,500",,"  0,5000 ",,"0,500","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка сахарная,Меланж (битое яйцо 10 шт),,,,кг,"0,025",,"0,025",,"  0,0250 ",,"0,025",,,,,
3,Булочка сахарная,САХАР ПЕСОК,,,,кг,"0,025",,"0,025",,"  0,0250 ",,"0,025",,,,,
4,Булочка сахарная,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
5,Булочка сахарная,Пакеты отрывные (500шт),,,,шт,"5,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"5,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,5518",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка Улитка с корицей,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688745,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка Улитка с корицей,,,,,,
 11.04.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка Улитка с корицей,Тесто Сдобное п/ф,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,073","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка Улитка с корицей,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Булочка Улитка с корицей,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
4,Булочка Улитка с корицей,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,Булочка Улитка с корицей,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
6,Булочка Улитка с корицей,Смесь корица с сахаром п/ф 1 кг,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,000",,,,,
7,Булочка Улитка с корицей,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0795",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка Улитка с маком,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630384,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка Улитка с маком,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Булочка Улитка с маком,Тесто Сдобное п/ф,,,,кг,"0,700",,"0,700",,"  0,7000 ",,"0,539","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка Улитка с маком,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,022",,"0,022",,"  0,0220 ",,"0,022",,,,,
3,Булочка Улитка с маком,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,005",,"0,022",,"  0,0220 ",,"0,000",,,,,
4,Булочка Улитка с маком,Сироп для пропитки,,,,кг,"0,020",,"0,020",,"  0,0200 ",,"0,020",,,,,
5,Булочка Улитка с маком,"НАЧИНКА МАКОВАЯ (готовая) 12,5",,,,кг,"0,100",,"0,100",,"  0,1000 ",,"0,100",,,,,
6,Булочка Улитка с маком,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,001",,"  0,0010 ",,"0,001",,,,,
7,Булочка Улитка с маком,Меланж (битое яйцо 10 шт),,,,кг,"0,022",,"0,022",,"  0,0220 ",,"0,022",,,,,
